name,country,region,sub_region,latitude,longitude,elevation_m,coast_distance_km,avg_temp_summer_c,avg_temp_winter_c,annual_rainfall_mm,sunny_days_per_year,hiking_trails_count,unesco_sites_within_100km,museum_count,national_parks_within_100km,theme_parks_count,cost_of_living_index,avg_3star_hotel_usd,annual_visitors_millions,visitors_per_capita,label
Colmar,France,Europe,Alsace,47.56,2.043,81.0,42.3,21.2,4.2,910.0,176.0,23.0,3,25.0,1,0,68.3,145.0,8.174,3.53,Culture
Reims,France,Europe,Champagne,46.171,2.337,269.0,130.8,20.9,0.9,858.0,186.0,32.0,3,21.0,1,1,99.8,247.0,4.643,2.39,Culture
Épernay,France,Europe,Champagne,46.662,1.257,26.0,209.2,22.4,4.6,904.0,183.0,37.0,3,15.0,0,0,94.3,222.0,1.103,2.57,Culture
Mont Saint-Michel,France,Europe,Normandy,45.898,3.493,119.0,74.0,20.1,3.9,627.0,205.0,23.0,2,13.0,0,1,78.5,142.0,5.971,6.97,Culture
Bayeux,France,Europe,Normandy,46.046,1.12,140.0,1.1,22.2,6.0,1199.0,168.0,22.0,3,7.0,1,0,65.5,127.0,20.672,9.34,Culture
Étretat,France,Europe,Normandy,46.922,3.545,265.0,147.5,18.4,1.9,930.0,205.0,30.0,1,12.0,0,1,73.5,146.0,3.344,1.51,Culture
Honfleur,France,Europe,Normandy,45.907,2.197,112.0,81.0,22.1,5.4,944.0,183.0,18.0,2,24.0,1,0,89.9,176.0,4.353,1.65,Culture
Saint-Malo,France,Europe,Brittany,45.149,4.619,154.0,112.4,20.5,2.4,953.0,177.0,39.0,0,27.0,1,0,72.8,142.0,3.487,2.56,Culture
Quimper,France,Europe,Brittany,45.78,2.764,82.0,170.6,22.6,3.1,1014.0,169.0,35.0,2,17.0,1,0,58.2,139.0,6.102,12.21,Culture
Loire Valley,France,Europe,Centre-Val de Loire,47.113,2.935,89.0,42.2,21.3,1.7,698.0,173.0,19.0,0,19.0,1,1,71.9,184.0,3.28,5.59,Culture
Tours,France,Europe,Centre-Val de Loire,46.892,1.342,118.0,130.9,21.9,3.1,825.0,178.0,26.0,1,28.0,2,1,73.7,152.0,8.807,9.02,Culture
Corsica - Ajaccio,France,Europe,Corsica,47.067,3.819,233.0,91.1,20.4,3.6,1043.0,166.0,23.0,2,25.0,0,0,69.2,161.0,3.187,1.24,Culture
Corsica - Bonifacio,France,Europe,Corsica,47.583,-0.911,26.0,55.8,21.8,4.4,1053.0,188.0,15.0,1,27.0,0,0,60.8,136.0,4.54,10.13,Culture
Madrid,Spain,Europe,Community of Madrid,38.44,-6.14,186.0,21.8,25.5,8.8,708.0,272.0,8.0,10,79.0,0,0,65.1,115.0,16.313,1.51,Culture
Barcelona,Spain,Europe,Catalonia,37.647,-3.625,124.0,231.9,27.2,6.7,485.0,245.0,17.0,0,19.0,1,0,59.9,129.0,1.26,1.32,Culture
Seville,Spain,Europe,Andalusia,41.226,-4.656,139.0,220.2,26.1,7.0,658.0,252.0,13.0,1,9.0,1,0,64.6,121.0,2.089,4.29,Culture
Granada,Spain,Europe,Andalusia,40.694,-3.954,88.0,238.8,25.5,7.2,508.0,249.0,12.0,2,2.0,2,0,64.5,135.0,3.992,3.3,Culture
Cordoba,Spain,Europe,Andalusia,40.411,-4.469,145.0,126.2,27.2,8.4,611.0,289.0,25.0,2,16.0,1,0,60.9,93.0,3.054,4.0,Culture
Malaga,Spain,Europe,Andalusia,40.849,-5.13,127.0,34.2,28.2,10.1,547.0,287.0,15.0,1,17.0,1,1,55.8,105.0,6.323,4.68,Culture
Marbella,Spain,Europe,Andalusia,39.268,-1.328,156.0,97.0,25.2,9.7,583.0,270.0,36.0,2,0.0,0,0,61.5,119.0,4.099,3.38,Luxury
Ronda,Spain,Europe,Andalusia,39.532,-2.407,94.0,106.6,27.0,5.7,544.0,226.0,20.0,2,5.0,1,0,47.0,111.0,1.603,0.85,Culture
Valencia,Spain,Europe,Valencia,42.144,-3.058,175.0,201.3,24.4,7.8,640.0,235.0,10.0,2,3.0,2,0,54.8,87.0,3.562,3.91,Culture
Alicante,Spain,Europe,Valencia,39.159,-4.657,67.0,122.2,26.1,11.0,513.0,268.0,14.0,1,30.0,0,0,70.2,124.0,3.788,2.08,Culture
Bilbao,Spain,Europe,Basque,41.442,-2.533,0,51.8,27.0,11.1,755.0,241.0,36.0,3,26.0,1,0,48.5,102.0,6.459,4.09,Culture
San Sebastián,Spain,Europe,Basque,39.426,-0.543,0,115.4,26.1,9.9,614.0,266.0,22.0,0,24.0,1,0,50.4,112.0,4.807,4.94,Culture
Santiago de Compostela,Spain,Europe,Galicia,39.227,-3.188,121.0,78.9,27.0,6.6,630.0,235.0,27.0,1,21.0,0,0,59.5,112.0,4.479,3.51,Culture
Salamanca,Spain,Europe,Castile and León,38.49,-6.837,62.0,87.0,27.7,8.6,582.0,254.0,15.0,1,8.0,2,0,62.2,119.0,3.245,3.82,Culture
Toledo,Spain,Europe,Castile-La Mancha,39.68,-4.032,45.0,35.5,26.8,10.9,773.0,277.0,21.0,1,12.0,1,0,53.0,91.0,5.078,14.99,Culture
Segovia,Spain,Europe,Castile and León,38.003,-3.638,33.0,87.5,27.6,9.1,913.0,273.0,0,2,14.0,1,0,58.9,133.0,3.129,2.02,Culture
Zaragoza,Spain,Europe,Aragon,40.648,-5.865,151.0,121.1,27.1,7.6,719.0,289.0,9.0,1,27.0,0,0,46.2,88.0,1.089,0.82,Culture
Pamplona,Spain,Europe,Navarre,39.628,-4.944,222.0,118.0,25.1,6.3,878.0,271.0,0,1,39.0,0,0,56.1,127.0,1.323,1.07,Culture
Ibiza,Spain,Europe,Balearic Islands,36.652,-3.896,99.0,0.2,25.9,8.6,592.0,278.0,3.0,3,2.0,1,0,58.5,113.0,15.265,217.64,Relaxation
Mallorca - Palma,Spain,Europe,Balearic Islands,41.115,-3.055,209.0,2.7,26.4,10.7,690.0,246.0,3.0,3,2.0,0,0,61.4,139.0,11.76,14.66,Relaxation
Menorca,Spain,Europe,Balearic Islands,40.217,-4.782,187.0,0.2,23.1,8.6,836.0,234.0,28.0,2,3.0,2,0,73.1,129.0,9.253,19.92,Relaxation
Formentera,Spain,Europe,Balearic Islands,40.053,-2.951,116.0,2.7,26.6,10.2,685.0,237.0,6.0,2,8.0,0,1,60.6,130.0,10.811,17.48,Relaxation
Tenerife,Spain,Europe,Canary Islands,42.55,-1.841,310.0,1.3,24.8,8.4,768.0,268.0,20.0,2,9.0,1,2,69.8,147.0,7.228,13.81,Family
Gran Canaria,Spain,Europe,Canary Islands,39.756,-5.215,119.0,2.8,26.4,11.2,683.0,232.0,22.0,2,2.0,0,0,72.0,127.0,12.75,172.19,Relaxation
Lanzarote,Spain,Europe,Canary Islands,41.896,-2.075,55.0,1.9,25.7,10.9,761.0,240.0,0.0,0,8.0,1,0,56.3,106.0,14.078,15.34,Relaxation
Fuerteventura,Spain,Europe,Canary Islands,37.606,-2.689,176.0,1.7,24.8,10.7,704.0,276.0,22.0,1,8.0,2,0,78.3,125.0,8.519,45.0,Relaxation
La Palma,Spain,Europe,Canary Islands,39.031,-1.758,118.0,2.6,25.2,9.7,604.0,274.0,16.0,0,11.0,1,0,67.8,124.0,5.995,7.18,Adventure
Sitges,Spain,Europe,Catalonia,39.336,-4.479,0,104.2,25.7,10.1,701.0,285.0,32.0,2,21.0,1,0,58.7,111.0,7.697,6.68,Relaxation
Costa Brava,Spain,Europe,Catalonia,40.828,-4.741,153.0,158.6,25.7,8.3,830.0,268.0,25.0,0,8.0,2,0,63.9,133.0,3.092,2.89,Relaxation
Lisbon,Portugal,Europe,Lisbon,37.572,-10.316,114.0,149.5,23.0,10.3,814.0,248.0,4.0,4,49.0,0,1,70.9,114.0,8.287,4.42,Culture
Porto,Portugal,Europe,Norte,37.557,-6.651,219.0,1.9,22.8,10.2,917.0,236.0,20.0,0,5.0,1,0,60.3,117.0,3.959,13.0,Culture
Sintra,Portugal,Europe,Lisbon,38.408,-8.663,27.0,149.0,25.2,10.8,576.0,274.0,3.0,1,10.0,1,0,50.0,100.0,0.903,5.97,Culture
Cascais,Portugal,Europe,Lisbon,43.48,-7.171,241.0,92.9,20.8,12.3,884.0,225.0,26.0,0,16.0,1,0,63.5,107.0,0.856,4.18,Relaxation
Évora,Portugal,Europe,Alentejo,41.808,-8.092,211.0,66.5,19.9,8.8,822.0,230.0,5.0,0,0.0,2,0,52.8,96.0,0.372,0.96,Culture
Algarve - Lagos,Portugal,Europe,Algarve,39.891,-6.839,114.0,170.2,24.3,9.1,700.0,214.0,13.0,0,14.0,0,0,50.2,78.0,1.525,4.44,Relaxation
Algarve - Faro,Portugal,Europe,Algarve,40.286,-7.502,111.0,212.3,23.5,9.3,848.0,201.0,14.0,0,10.0,2,0,60.5,141.0,1.584,4.55,Relaxation
Algarve - Albufeira,Portugal,Europe,Algarve,39.03,-9.283,130.0,45.9,23.8,11.6,846.0,252.0,14.0,1,0,0,0,66.3,101.0,1.405,12.25,Relaxation
Algarve - Tavira,Portugal,Europe,Algarve,39.439,-6.878,175.0,77.1,22.8,11.0,859.0,192.0,10.0,0,20.0,1,0,49.6,91.0,1.578,5.33,Relaxation
Madeira - Funchal,Portugal,Europe,Madeira,40.492,-8.374,157.0,230.7,22.5,12.0,866.0,250.0,24.0,1,18.0,1,0,62.1,96.0,1.797,6.95,Adventure
Azores - São Miguel,Portugal,Europe,Azores,37.24,-7.432,25.0,141.5,22.1,13.4,1069.0,263.0,21.0,1,4.0,0,0,57.0,104.0,1.141,3.43,Adventure
Azores - Pico,Portugal,Europe,Azores,39.173,-10.298,148.0,125.1,24.3,10.6,936.0,211.0,0.0,1,16.0,2,0,52.5,88.0,2.974,13.82,Adventure
Coimbra,Portugal,Europe,Centro,40.675,-8.291,169.0,51.1,21.7,8.0,994.0,236.0,12.0,1,17.0,1,0,53.8,84.0,0.626,0.79,Culture
Braga,Portugal,Europe,Norte,41.707,-8.817,146.0,245.1,24.1,7.9,1019.0,237.0,13.0,0,0,0,0,51.3,113.0,1.772,9.01,Culture
Aveiro,Portugal,Europe,Centro,38.775,-7.582,0,23.6,24.2,11.7,1052.0,245.0,8.0,1,21.0,1,0,51.9,106.0,0.998,1.49,Culture
Óbidos,Portugal,Europe,Centro,40.117,-8.203,50.0,157.5,23.2,9.5,823.0,250.0,6.0,0,18.0,0,1,68.4,100.0,1.028,1.32,Culture
Nazaré,Portugal,Europe,Centro,38.373,-5.215,77.0,200.7,23.0,11.9,938.0,255.0,8.0,1,11.0,0,1,48.1,90.0,1.046,2.81,Adventure
Douro Valley,Portugal,Europe,Norte,40.312,-8.056,192.0,38.2,21.7,10.2,569.0,232.0,24.0,1,10.0,0,1,72.4,114.0,1.506,9.04,Luxury
Athens,Greece,Europe,Attica,38.381,22.339,116.0,235.5,28.8,9.1,784.0,270.0,8.0,2,67.0,0,1,64.7,135.0,6.576,2.83,Culture
Thessaloniki,Greece,Europe,Macedonia,37.964,18.478,151.0,186.2,28.1,7.7,679.0,288.0,34.0,1,12.0,0,0,62.0,119.0,1.332,3.9,Culture
Santorini,Greece,Europe,Cyclades,40.098,19.084,121.0,2.1,27.2,12.9,895.0,264.0,9.0,1,6.0,0,0,67.9,141.0,6.371,37.6,Luxury
Mykonos,Greece,Europe,Cyclades,38.771,25.296,186.0,0.1,27.5,10.2,682.0,264.0,19.0,1,8.0,0,0,63.3,119.0,4.28,349.34,Luxury
Naxos,Greece,Europe,Cyclades,39.013,20.424,108.0,244.8,30.5,9.6,553.0,235.0,19.0,0,5.0,0,0,60.0,122.0,2.604,12.36,Relaxation
Paros,Greece,Europe,Cyclades,38.415,22.132,244.0,89.0,27.6,7.9,819.0,268.0,25.0,0,9.0,1,0,51.1,102.0,1.112,3.18,Relaxation
Milos,Greece,Europe,Cyclades,40.06,24.024,175.0,29.8,28.4,11.8,751.0,254.0,19.0,1,8.0,2,0,52.2,92.0,2.602,8.69,Relaxation
Ios,Greece,Europe,Cyclades,38.522,21.358,139.0,57.4,28.2,11.9,459.0,300.0,7.0,0,19.0,0,0,70.3,129.0,2.31,6.01,Relaxation
Crete - Heraklion,Greece,Europe,Crete,37.838,19.254,203.0,0.1,26.4,14.0,595.0,271.0,25.0,1,4.0,1,0,67.7,110.0,5.694,43.65,Relaxation
Crete - Chania,Greece,Europe,Crete,39.428,21.887,50.0,0.3,28.5,11.0,650.0,283.0,19.0,1,8.0,2,0,60.6,114.0,4.223,342.05,Relaxation
Crete - Rethymno,Greece,Europe,Crete,37.497,19.021,192.0,2.2,23.9,8.7,722.0,296.0,13.0,0,4.0,1,0,53.0,110.0,2.665,46.88,Relaxation
Rhodes,Greece,Europe,Dodecanese,39.059,20.102,44.0,0.6,28.4,11.6,825.0,264.0,2.0,0,1.0,1,0,66.2,120.0,4.66,46.14,Relaxation
Kos,Greece,Europe,Dodecanese,40.938,22.885,192.0,93.4,27.6,6.6,850.0,262.0,11.0,1,13.0,1,1,76.3,172.0,0.449,1.48,Family
Patmos,Greece,Europe,Dodecanese,41.318,23.285,101.0,203.5,28.6,8.8,770.0,239.0,12.0,0,4.0,1,0,62.1,114.0,1.542,6.78,Relaxation
Corfu,Greece,Europe,Ionian,38.9,24.692,61.0,1.6,27.9,9.7,841.0,254.0,12.0,1,5.0,1,0,60.5,119.0,2.253,13.97,Relaxation
Zakynthos,Greece,Europe,Ionian,35.881,22.717,143.0,71.1,28.0,7.2,618.0,256.0,7.0,1,14.0,2,0,63.3,127.0,2.418,7.91,Relaxation
Kefalonia,Greece,Europe,Ionian,38.696,20.938,180.0,200.4,26.7,8.6,803.0,290.0,11.0,0,8.0,0,0,59.9,114.0,1.974,8.12,Relaxation
Meteora,Greece,Europe,Thessaly,37.95,20.973,194.0,126.3,28.2,6.7,717.0,299.0,2.0,1,15.0,1,0,55.4,101.0,0.477,5.57,Adventure
Delphi,Greece,Europe,Central Greece,36.272,22.892,83.0,95.0,27.6,9.8,743.0,250.0,6.0,4,13.0,2,0,53.4,106.0,4.664,9.09,Culture
Nafplio,Greece,Europe,Peloponnese,36.611,21.185,59.0,74.9,29.5,10.6,723.0,287.0,4.0,0,2.0,1,0,51.7,85.0,0.511,3.19,Culture
Olympia,Greece,Europe,Peloponnese,38.412,21.367,128.0,102.6,28.8,9.2,770.0,219.0,3.0,1,7.0,1,0,59.2,118.0,0.422,3.28,Culture
Mystras,Greece,Europe,Peloponnese,37.985,21.162,255.0,150.1,27.5,6.6,498.0,268.0,14.0,1,17.0,2,0,49.3,86.0,2.456,7.85,Culture
Lesbos,Greece,Europe,North Aegean,38.955,19.746,412.0,123.4,25.0,9.6,303.0,296.0,16.0,1,2.0,2,0,61.1,115.0,1.632,4.92,Relaxation
Skiathos,Greece,Europe,Sporades,37.247,19.77,2276.0,133.9,13.6,-8.6,892.0,189.0,53.0,1,6.0,2,1,80.6,199.0,1.62,17.16,Relaxation
Hydra,Greece,Europe,Saronic,39.758,20.87,84.0,195.1,26.3,8.7,529.0,255.0,11.0,0,0,0,0,63.9,112.0,0.849,3.84,Relaxation
Berlin,Germany,Europe,Berlin,48.368,8.014,140.0,243.6,17.7,-1.4,633.0,173.0,1.0,9,151.0,1,0,79.6,144.0,8.56,0.45,Culture
Munich,Germany,Europe,Bavaria,51.758,5.884,122.0,164.0,17.8,0.3,778.0,167.0,30.0,1,34.0,0,1,67.5,136.0,0.458,0.31,Culture
Hamburg,Germany,Europe,Hamburg,52.926,11.463,105.0,163.9,18.0,-0.1,561.0,155.0,35.0,0,27.0,2,0,77.7,154.0,2.668,0.8,Culture
Cologne,Germany,Europe,North Rhine-Westphalia,50.295,10.499,191.0,188.1,18.3,0.8,875.0,165.0,29.0,3,26.0,0,0,71.0,128.0,1.246,1.19,Culture
Frankfurt,Germany,Europe,Hesse,50.963,5.506,56.0,70.0,17.8,1.3,752.0,175.0,44.0,1,13.0,0,0,65.9,102.0,1.866,0.69,Culture
Heidelberg,Germany,Europe,Baden-Württemberg,49.936,6.387,83.0,139.1,17.6,-2.0,786.0,159.0,36.0,3,35.0,0,0,73.5,156.0,0.499,0.34,Culture
Black Forest,Germany,Europe,Baden-Württemberg,50.398,11.808,164.0,145.7,16.9,0.7,944.0,165.0,54.0,3,4.0,1,1,70.0,122.0,3.248,1.95,Adventure
Rothenburg ob der Tauber,Germany,Europe,Bavaria,49.246,11.648,75.0,39.2,18.3,3.5,955.0,167.0,32.0,1,14.0,0,0,66.9,135.0,1.012,0.32,Culture
Nuremberg,Germany,Europe,Bavaria,52.54,11.833,231.0,171.4,18.1,-0.4,821.0,161.0,34.0,2,20.0,1,0,67.7,117.0,2.374,0.88,Culture
Bamberg,Germany,Europe,Bavaria,53.675,10.665,116.0,183.8,18.7,-0.3,773.0,148.0,36.0,2,19.0,1,0,78.6,143.0,2.2,5.15,Culture
Würzburg,Germany,Europe,Bavaria,51.149,9.756,193.0,231.7,18.1,1.4,1130.0,183.0,37.0,2,23.0,0,0,74.0,138.0,1.52,0.8,Culture
Garmisch-Partenkirchen,Germany,Europe,Bavaria,51.77,9.273,196.0,239.4,14.5,1.3,868.0,155.0,52.0,1,25.0,0,0,78.0,141.0,1.188,0.36,Adventure
Berchtesgaden,Germany,Europe,Bavaria,53.594,9.952,109.0,203.1,16.8,2.3,1071.0,176.0,35.0,2,26.0,1,0,74.8,146.0,0.497,0.25,Adventure
Dresden,Germany,Europe,Saxony,51.13,12.321,373.0,183.7,18.1,1.4,979.0,172.0,26.0,2,11.0,0,0,80.5,123.0,1.701,2.82,Culture
Leipzig,Germany,Europe,Saxony,50.585,9.098,80.0,233.0,20.7,-1.7,969.0,154.0,43.0,1,30.0,2,0,62.8,107.0,0.759,0.51,Culture
Weimar,Germany,Europe,Thuringia,51.21,7.825,0,40.8,19.5,1.5,685.0,155.0,20.0,1,29.0,0,1,67.9,134.0,2.763,2.97,Culture
Lübeck,Germany,Europe,Schleswig-Holstein,53.813,8.836,25.0,41.8,18.3,3.0,953.0,163.0,35.0,3,27.0,1,0,77.8,126.0,0.868,0.31,Culture
Sylt,Germany,Europe,Schleswig-Holstein,51.543,10.1,191.0,49.6,17.0,2.1,648.0,158.0,36.0,1,31.0,1,0,74.2,117.0,3.108,2.53,Luxury
Rügen,Germany,Europe,Mecklenburg,50.198,10.378,36.0,168.9,17.7,-2.3,802.0,155.0,34.0,1,16.0,2,0,86.1,147.0,1.419,0.56,Relaxation
Mosel Valley,Germany,Europe,Rhineland-Palatinate,48.405,10.444,62.0,94.0,19.9,0.5,833.0,157.0,32.0,3,23.0,1,0,86.1,171.0,0.662,0.28,Luxury
London,United Kingdom,Europe,England,53.714,1.662,144.0,249.2,16.9,4.6,1476.0,143.0,4.0,7,104.0,0,1,92.6,199.0,10.47,0.65,Culture
Edinburgh,United Kingdom,Europe,Scotland,52.222,-3.001,210.0,222.8,19.9,2.3,1108.0,135.0,30.0,0,24.0,0,0,86.5,170.0,0.688,0.31,Culture
Glasgow,United Kingdom,Europe,Scotland,54.356,-2.516,195.0,52.6,18.2,5.1,1255.0,137.0,33.0,1,16.0,1,0,64.8,158.0,3.407,1.32,Culture
